type,year,make,model,trim,mileage,price
USED,2010,Acura,TL,Base,73936,19388
USED,2012,Acura,MDX,Technology Package,32453,34898
USED,2010,Acura,TL,Base,34302,22000
USED,2009,Acura,TL,SH-AWD,98772,17988
USED,2007,Acura,MDX,Base,65677,22777
USED,2004,Acura,TL,3.2,138197,9991
USED,2003,Acura,MDX,Touring,153399,8998
USED,2012,Acura,MDX,Base,29857,31988
USED,2009,Acura,MDX,Base,64574,23744
USED,2012,Acura,TL,Base,69693,21774
USED,2002,Acura,TL,3.2 Type-S,160217,6844
USED,2012,Acura,TL,Base,54483,20993
USED,2012,Acura,MDX,Base,51365,30988
USED,2012,Acura,TL,Technology Package,42709,25988
USED,2009,Acura,TL,SH-AWD,133239,16988
USED,2012,Acura,MDX,Technology Package,84436,27988
USED,2012,Acura,TL,Technology Package,30027,26988
USED,2003,Acura,TL,3.2 Type-S,121495,10900
USED,2012,Acura,MDX,Technology Package,36631,36500
USED,2009,Acura,TL,Base,120496,15988
USED,2004,Acura,TL,3.2,162292,7972
USED,2013,Acura,TL,Technology Package,9647,28971
USED,2006,Acura,MDX,Base,116537,10492
USED,2012,Acura,TL,Technology Package,17163,26500
USED,2005,Acura,MDX,Touring,80736,13988
USED,2002,Acura,MDX,Base,160525,7999
USED,2009,Acura,MDX,Base,58548,23988
USED,2012,Acura,TL,SH-AWD w/Technology Package,35901,28883
USED,2012,Acura,MDX,Technology Package,20301,32887
USED,2012,Acura,MDX,Technology Package,40353,29888
USED,2012,Acura,MDX,Technology Package,65960,29997
USED,2012,Acura,MDX,Base,38978,34988
USED,2005,Acura,TL,3.2,122680,10991
USED,2005,Acura,TL,3.2,72615,12671
USED,2009,Acura,MDX,Base,65301,23688
USED,2012,Acura,MDX,Base,53075,29788
USED,2008,Acura,TL,Base,54973,18981
USED,2009,Acura,TL,Base,46749,19991
USED,2012,Acura,TL,Base,36617,23991
USED,2008,Acura,MDX,Base,78926,22991
USED,2006,Acura,MDX,Base,138866,9998
USED,2010,Acura,TL,SH-AWD,72222,19981
USED,2006,Acura,MDX,Touring,163855,10881
USED,2011,Acura,MDX,Base,44687,29981
USED,2013,Acura,MDX,Technology and Entertainment Packages,23764,36988
USED,2012,Acura,MDX,Technology Package,38158,34000
USED,2007,Acura,MDX,Base,111643,18980
USED,2006,Acura,TL,Base,82858,13000
USED,2008,Acura,MDX,Base,76587,22980
USED,2009,Acura,MDX,Base,52000,26980
USED,2012,Acura,MDX,Technology Package,39314,32980
USED,2005,Acura,MDX,Touring,100529,10994
USED,2012,Acura,TL,SH-AWD w/Technology Package,69967,24500
USED,2012,Acura,MDX,Base,25033,35000
USED,2007,Acura,MDX,Base,106717,19000
USED,2008,Acura,MDX,Base,86709,22915
USED,2012,Acura,TL,Base,31830,24481
USED,2012,Acura,MDX,Advance Package,30445,33991
USED,2013,Acura,TL,Technology Package,34899,26991
USED,2012,Acura,TL,Technology Package,46673,23991
USED,2012,Acura,TL,Base,29989,22992
USED,2012,Acura,TL,Technology Package,25962,23594
USED,2006,Acura,MDX,Touring,90737,13981
USED,2008,Acura,MDX,Base,108633,17788
USED,2012,Acura,MDX,Technology and Entertainment Packages,54320,31958
USED,2000,Acura,TL,3.2,138668,5998
USED,2012,Acura,MDX,Technology Package,43014,34988
USED,2011,Acura,MDX,Base,67568,25991
USED,2006,Acura,TL,Base,120195,11482
USED,2009,Acura,TL,Base,107918,16788
USED,2003,Acura,TL,3.2,174393,7991
USED,2009,Acura,TL,Base,81545,20800
USED,2007,Acura,MDX,Base,77509,22488
USED,2012,Acura,TL,Technology Package,16406,28981
USED,2011,Acura,TL,Base,44514,24988
USED,2012,Acura,TL,Technology Package,38126,26981
USED,2012,Acura,TL,Technology Package,25960,26998
USED,2013,Acura,TL,Technology Package,12762,28998
USED,2012,Acura,TL,SH-AWD w/Technology Package,68540,23991
USED,2004,Acura,MDX,Touring,98228,11590
USED,2003,Acura,TL,3.2 Type-S,104387,7490
USED,2012,Acura,TL,Base,38719,22900
USED,2009,Acura,MDX,Base,54175,28900
USED,2008,Acura,MDX,Base,50483,25900
USED,2007,Acura,MDX,Base,43644,26995
USED,2007,Acura,MDX,Base,72264,20998
USED,2009,Acura,TL,Base,43517,21998
USED,2012,Acura,TL,Base,44125,22751
USED,2012,Acura,MDX,Technology Package,39457,36975
USED,2012,Acura,TL,Base,18672,25975
USED,2013,Acura,TL,Technology Package,21868,27975
USED,2012,Acura,TL,Technology Package,51512,23557
USED,2012,Acura,TL,Technology Package,28827,24464
USED,2008,Acura,MDX,Base,79404,22995
USED,2008,Acura,MDX,Base,87131,23995
USED,2012,Acura,TL,SH-AWD w/Technology Package,63873,22995
USED,2012,Acura,MDX,Technology Package,49806,32998
USED,2007,Acura,MDX,Base,71107,20988
USED,2007,Acura,TL,Base,61950,16577
USED,2010,Acura,TL,SH-AWD,68113,22488
USED,2012,Acura,TL,Base,15415,25988
USED,2005,Acura,TL,3.2,162266,8000
USED,2012,Acura,MDX,Base,30761,30995
USED,2003,Acura,TL,3.2,111464,7300
USED,2013,Acura,MDX,Base,33708,35000
USED,2005,Acura,MDX,Touring,104336,14888
USED,2001,Acura,MDX,Base,189608,6888
USED,2007,Acura,MDX,Base,99901,18888
USED,2006,Acura,TL,Base,191127,9888
USED,2011,Acura,MDX,Base,43010,29995
USED,2007,Acura,MDX,Base,96475,17490
USED,2010,Acura,MDX,Base,112435,22900
USED,2003,Acura,TL,3.2 Type-S,157698,5991
USED,2006,Acura,MDX,Touring,87522,14981
USED,2008,Acura,TL,Base,58806,18995
USED,2003,Acura,TL,3.2,102536,6988
USED,2007,Acura,MDX,Base,126144,15788
USED,2009,Acura,TL,Base,81274,16286
USED,2002,Acura,MDX,Base,99811,9995
USED,2006,Acura,TL,Base,134985,11500
USED,2008,Acura,MDX,Base,103538,19400
USED,2002,Acura,TL,3.2,96616,8999
USED,2002,Acura,TL,3.2 Type-S,109500,7999
USED,2005,Acura,TL,3.2,86417,13995
USED,2012,Acura,TL,Base,35604,21985
USED,2008,Acura,TL,Base,67394,16985
USED,2006,Acura,TL,Base,173314,8999
USED,2006,Acura,TL,Base,130380,10994
USED,2009,Acura,MDX,Base,55840,24890
USED,2006,Acura,MDX,Touring,107631,14995
USED,2005,Acura,MDX,Touring,168279,9995
USED,2008,Acura,MDX,Base,98997,19695
USED,2004,Acura,MDX,Touring,115000,11795
USED,2001,Acura,MDX,Base,129242,8795
USED,2004,Acura,MDX,Touring,124625,11795
USED,2002,Acura,MDX,Touring,125554,7899
USED,2003,Acura,TL,3.2,113000,6995
USED,2008,Acura,TL,Type-S,80132,19888
USED,2009,Acura,TL,Base,105849,16995
USED,2008,Acura,TL,Base,68619,17995
USED,2005,Acura,MDX,Touring,107795,11995
USED,2012,Acura,TL,Base,29898,23373
USED,2012,Acura,TL,Base,36561,24981
USED,2008,Acura,MDX,Base,66409,23988
USED,2009,Acura,MDX,Base,91160,18500
USED,2004,Acura,MDX,Touring,179720,8950
USED,2002,Acura,MDX,Touring,169036,8950
USED,2005,Acura,TL,3.2,252480,6950
USED,2007,Acura,MDX,Base,101152,19700
USED,2006,Acura,TL,Base,124342,11500
USED,2005,Acura,TL,3.2,121720,11950
